=== Extensions ablation: 9 runs ===

[1/9] RUN  double_icm seed=0

=== Run: double_icm_seed0 ===
  Double DQN:         True
  Prioritized Replay: False
  ICM (curiosity):    True
  Reward shaping:     False

  Device: cpu
  Ep  520 | R   -71.4 | Avg100    55.6 | Eps 0.010 | Loss 0.4816 | r_int   1.78 | t=100s
  Ep  530 | R   266.5 | Avg100    57.8 | Eps 0.010 | Loss 0.5032 | r_int   2.66 | t=104s
  Ep  540 | R   -43.1 | Avg100    60.2 | Eps 0.010 | Loss 0.5164 | r_int   2.03 | t=108s
  Ep  550 | R   239.8 | Avg100    64.9 | Eps 0.010 | Loss 0.4831 | r_int   1.86 | t=112s
  Ep  560 | R   -30.0 | Avg100    73.5 | Eps 0.010 | Loss 0.4123 | r_int   7.86 | t=115s
  Ep  570 | R   171.4 | Avg100    74.5 | Eps 0.010 | Loss 0.3452 | r_int   2.28 | t=118s
  Ep  580 | R   -38.5 | Avg100    71.5 | Eps 0.010 | Loss 0.3930 | r_int   2.21 | t=122s
  Ep  590 | R   262.8 | Avg100    76.5 | Eps 0.010 | Loss 0.3347 | r_int   3.34 | t=126s
  Ep  600 | R   201.6 | Avg100    77.2 | Eps 0.010 | Loss 0.3998 | r_int   9.86 | t=128s
  Ep  610 | R   239.3 | Avg100    86.0 | Eps 0.010 | Loss 0.3629 | r_int   2.31 | t=132s
  Ep  620 | R   159.9 | Avg100    97.7 | Eps 0.010 | Loss 0.3728 | r_int   3.93 | t=134s
  Ep  630 | R   -22.8 | Avg100   106.7 | Eps 0.010 | Loss 0.3335 | r_int   2.79 | t=138s
  Ep  640 | R   234.3 | Avg100   126.9 | Eps 0.010 | Loss 0.3129 | r_int  10.16 | t=140s
  Ep  650 | R   270.1 | Avg100   134.3 | Eps 0.010 | Loss 0.3497 | r_int   3.82 | t=143s
  Ep  660 | R   256.9 | Avg100   148.3 | Eps 0.010 | Loss 0.3319 | r_int  10.53 | t=145s
  Ep  670 | R    17.6 | Avg100   147.4 | Eps 0.010 | Loss 0.3448 | r_int   3.62 | t=148s
  Ep  680 | R   242.7 | Avg100   155.3 | Eps 0.010 | Loss 0.3299 | r_int   2.58 | t=151s
  Ep  690 | R   293.7 | Avg100   160.0 | Eps 0.010 | Loss 0.2829 | r_int   2.99 | t=154s
  Ep  700 | R   243.3 | Avg100   169.9 | Eps 0.010 | Loss 0.3498 | r_int   7.21 | t=156s
  Ep  710 | R   255.4 | Avg100   171.2 | Eps 0.010 | Loss 0.3826 | r_int   3.21 | t=159s
  Ep  720 | R   207.1 | Avg100   170.7 | Eps 0.010 | Loss 0.3220 | r_int  19.89 | t=162s
  Ep  730 | R   238.3 | Avg100   177.0 | Eps 0.010 | Loss 0.3599 | r_int   3.54 | t=165s
  Ep  740 | R   218.0 | Avg100   175.5 | Eps 0.010 | Loss 0.2974 | r_int   7.25 | t=168s
  Ep  750 | R   261.0 | Avg100   179.0 | Eps 0.010 | Loss 0.3896 | r_int   3.92 | t=170s
