episode,reward,moving_avg_100,epsilon,loss,steps
1,-93.01729772267262,-93.01729772267262,0.99802,0.7814247608184814,66
2,-292.2146596830485,-192.61597870286056,0.99604,2.117181902130445,97
3,-102.37946263466701,-162.5371400134627,0.99406,2.390063390135765,62
4,-241.84279721492462,-182.3635543138282,0.9920800000000001,2.3382817038467953,111
5,-87.02725792569355,-163.29629503620126,0.9901000000000001,2.0845077633857727,81
6,-85.00361606209486,-150.2475152071835,0.9881200000000001,2.085838503562487,105
7,-218.76873280030048,-160.0362605776288,0.9861400000000001,1.9899955171125907,106
8,-335.7029872472132,-181.99460141132687,0.9841600000000001,1.7377239377410323,110
9,-191.0905001767789,-183.00525682971045,0.9821800000000002,2.2201938346812597,75
10,-152.5115381692163,-179.95588496366102,0.9802000000000002,2.3955264886220298,133
11,-207.4312623185185,-182.45364654137532,0.9782200000000002,2.0370720747639153,69
12,-180.22359744718426,-182.2678091168594,0.9762400000000002,1.7046935439109803,80
13,-157.8154275457484,-180.38685668831238,0.9742600000000002,1.9187491834163666,78
14,-74.6614778353354,-172.83504391309975,0.9722800000000003,2.524900634037821,76
15,-301.4597648495184,-181.41002530886098,0.9703000000000003,2.003713927770916,78
16,-167.47143265224224,-180.53886326782234,0.9683200000000003,2.9104399914326877,91
17,-141.84757404894563,-178.26290507847665,0.9663400000000003,1.5610249206423759,81
18,-247.77340123258617,-182.12459930926053,0.9643600000000003,1.6925428134423715,105
19,-74.08517333421524,-176.43831373162655,0.9623800000000003,1.9207726418972015,65
20,-217.39262283054845,-178.48602918657267,0.9604000000000004,1.906927918845957,88
21,-139.35190816204403,-176.62249961397606,0.9584200000000004,2.300928426825482,93
22,-167.81748133646545,-176.22227151045283,0.9564400000000004,2.2872370460203717,112
23,-131.0474649288467,-174.2581494851656,0.9544600000000004,1.7867702704209547,104
24,-158.88987604776884,-173.61780475860738,0.9524800000000004,1.5644876333800228,86
25,-163.86676560402933,-173.22776319242428,0.9505000000000005,2.1139415487647057,83
26,-175.96742705079777,-173.33313487928478,0.9485200000000005,2.1570115139087043,95
27,-90.27447291809722,-170.25688813998156,0.9465400000000005,1.0926674163341523,101
28,-190.92336189956416,-170.99497648853807,0.9445600000000005,1.8511369046957598,91
29,-179.0600442693842,-171.2730822740845,0.9425800000000005,1.7829528682761722,109
30,-247.34559502350245,-173.80883269906508,0.9406000000000005,1.4757268907768386,109
31,-161.91752357605293,-173.42524208219373,0.9386200000000006,1.4961228892207146,82
32,-116.62141953923944,-171.65012262772643,0.9366400000000006,1.2520201435455909,102
33,-119.26643523113088,-170.06273816116294,0.9346600000000006,1.6563018709421158,105
34,-379.088185171564,-176.21054542617475,0.9326800000000006,1.4696912623587108,83
35,-121.07307562651094,-174.63518914618436,0.9307000000000006,0.9765200200288192,93
36,-89.56681084859824,-172.27217863791805,0.9287200000000007,1.976799444148415,76
37,-136.12042063733827,-171.29510409736184,0.9267400000000007,1.3755672385295232,121
38,-375.73786993749246,-176.67517688262845,0.9247600000000007,1.1020084792375564,100
39,-245.38795074359257,-178.43704287906343,0.9227800000000007,1.6021509012755226,67
40,-149.51366238678415,-177.71395836675643,0.9208000000000007,1.1095460633436838,61
41,-144.43639379701568,-176.90231045042128,0.9188200000000007,1.223717180819347,115
42,-202.15404170733063,-177.50354214701434,0.9168400000000008,1.1795814903797928,110
43,-147.67008192649223,-176.8097407465371,0.9148600000000008,1.265897007452117,72
44,-87.97490268858073,-174.79076715431083,0.9128800000000008,1.0199550073593855,63
45,-179.46693744140185,-174.8946820495795,0.9109000000000008,1.4697859094423407,68
46,-55.62784075172884,-172.301924630061,0.9089200000000008,1.3095468013650842,142
47,-186.09409479875447,-172.59537505918215,0.9069400000000009,1.310447367253127,110
48,-113.79431846504266,-171.37035304680424,0.9049600000000009,1.5786124007268385,88
49,-203.58818701112267,-172.02785986240258,0.9029800000000009,1.5641776137053967,126
50,-115.08090739423426,-170.88892081303922,0.9010000000000009,1.1418339586065662,127
51,-140.15261656090644,-170.28624818064446,0.8990200000000009,1.0945835674510282,66
52,-145.77020225608368,-169.81478575901832,0.897040000000001,1.583389307372272,127
53,-186.5397785030088,-170.13035165984832,0.895060000000001,1.4972832584381104,101
54,-103.86858605037834,-168.90328192633964,0.893080000000001,1.6257310643792153,80
55,-76.12541379116709,-167.21641159660922,0.891100000000001,1.0878956968847073,75
56,-218.8500424115457,-168.13844071830448,0.889120000000001,1.2595787804860334,107
57,-190.7789198670551,-168.53564210687904,0.887140000000001,1.096739412844181,119
58,-198.95911872989814,-169.0601848072759,0.8851600000000011,1.2728978113404341,112
59,-242.05551805789113,-170.2973938454219,0.8831800000000011,1.6891310669672794,157
60,-141.35187245454327,-169.81496848890725,0.8812000000000011,1.4555888887374633,123
61,-191.01541879537115,-170.16251685458698,0.8792200000000011,1.203827891945839,100
62,-73.44607812952412,-168.60257429450533,0.8772400000000011,1.4471582345664502,78
63,-9.989628269646104,-166.08490848458692,0.8752600000000011,1.809036056632581,93
64,-109.93121533673742,-165.20750702915183,0.8732800000000012,1.3491238735873123,117
65,-34.701293232502664,-163.199719124588,0.8713000000000012,1.7315792923881894,83
66,-46.32003044485846,-161.4288147506527,0.8693200000000012,1.184330865740776,93
67,-94.73375982334838,-160.43336616964817,0.8673400000000012,1.3124953418185836,152
68,-404.1357371497888,-164.01722456641494,0.8653600000000012,1.353979458006061,196
69,-152.48776186468552,-163.85013090407102,0.8633800000000013,1.194711674814639,90
70,-69.45132720778206,-162.50157656555263,0.8614000000000013,1.7277227034792304,67
71,-134.45202080043077,-162.10651239984668,0.8594200000000013,1.5056891746141694,87
72,-36.351838170363635,-160.35991970221497,0.8574400000000013,1.816229058802128,79
73,-143.5219398012165,-160.12926244329716,0.8554600000000013,1.4875509485602378,81
74,-80.09539548534028,-159.04772370062207,0.8534800000000013,1.3051080163568258,94
75,-145.17756119879726,-158.86278820059775,0.8515000000000014,1.4389169908621733,69
76,-81.33066857336479,-157.84262873181834,0.8495200000000014,1.186371291938581,78
77,-225.97399589955472,-158.7274516820487,0.8475400000000014,1.242116258451433,130
78,-52.541339484003814,-157.36609126925325,0.8455600000000014,1.56495671843489,95
79,-163.55682363682934,-157.44445497010864,0.8435800000000014,1.2405339236322201,76
80,-253.298760395368,-158.6426337879244,0.8416000000000015,0.9734395858831704,129
81,-134.1035874091885,-158.33968259806346,0.8396200000000015,1.3460160018876195,128
82,-244.38349206269376,-159.38899734763214,0.8376400000000015,1.6809323909314904,149
83,-45.090988841110615,-158.0119129077945,0.8356600000000015,1.4898813847791066,88
84,-81.98266688788507,-157.10680283612894,0.8336800000000015,1.4361372753046453,128
85,-133.76801522220558,-156.83222886420043,0.8317000000000015,1.3897304867322628,103
86,-161.3015225719953,-156.8841973956864,0.8297200000000016,1.2737639583647251,95
87,-157.2700268363138,-156.88863221684304,0.8277400000000016,1.1884484887123108,113
88,-226.97912151706223,-157.6851150498001,0.8257600000000016,1.393377607067426,97
89,-139.87615561773617,-157.48501438202408,0.8237800000000016,1.4413860526524092,75
90,-168.9631505592647,-157.61254922843787,0.8218000000000016,1.416101092642004,88
91,-142.70823293819876,-157.44876553294074,0.8198200000000017,1.490875719662975,136
92,-123.84180814383197,-157.08347251784173,0.8178400000000017,1.7026719376444817,104
93,-139.26088240266216,-156.89183176391506,0.8158600000000017,0.9911003513978078,103
94,-104.25898410084244,-156.33190785260578,0.8138800000000017,1.3854535981081426,129
95,-131.69819636708525,-156.07260562644242,0.8119000000000017,1.395230348621096,113
96,-120.89335114240166,-155.7061550589003,0.8099200000000017,1.620120440920194,118
97,-195.1853080707951,-156.11315663634252,0.8079400000000018,1.5284126853501354,108
98,-261.3573607752753,-157.18707708673978,0.8059600000000018,1.136434248648584,128
99,-123.25566848606027,-156.84433558572283,0.8039800000000018,1.1134878599217959,114
100,-130.08967793240535,-156.57678900918964,0.8020000000000018,1.2343487909127926,114
101,-105.08364865132704,-156.6974525184762,0.8000200000000018,1.4370440652495937,78
102,-354.9733360383336,-157.32503928202905,0.7980400000000019,1.0700547168962657,126
103,-170.09246926609012,-158.0021693483433,0.7960600000000019,1.1464198321104049,80
