episode,reward,moving_avg_100,epsilon,loss,steps,intrinsic_sum,shaping_sum,icm_loss
1,-182.09487463417952,-182.09487463417952,0.99802,0.9585874134844,105,0.0,1.7487768074154295,0.0
2,-9.255341380832348,-95.67510800750594,0.99604,1.7995089807293632,90,0.0,2.5860189284714497,0.0
3,-382.73605332724736,-191.36208978075308,0.99406,2.421234188408687,113,0.0,1.4741115590800213,0.0
4,-130.98564002114838,-176.2679773408519,0.9920800000000001,2.6359398305416106,121,0.0,3.418589800320874,0.0
5,-110.9654085714654,-163.2074635869746,0.9901000000000001,2.0295092989416683,70,0.0,2.459478274191343,0.0
6,-181.72214629727074,-166.29324403869063,0.9881200000000001,2.209539411244569,108,0.0,2.5574350039953098,0.0
7,-227.84560985122383,-175.0864391547668,0.9861400000000001,2.105210211277008,100,0.0,1.8536180075688802,0.0
8,-88.33775906647509,-164.24285414373034,0.9841600000000001,2.257746357470751,63,0.0,2.6518863895407483,0.0
9,-341.0495598537353,-183.8880436670642,0.9821800000000002,1.7559050843119621,95,0.0,0.8935303128788186,0.0
10,-247.6509494281717,-190.26433424317497,0.9802000000000002,2.2161933647261725,72,0.0,1.4353255813726757,0.0
11,-105.33736289861172,-182.5437004845783,0.9782200000000002,1.9643437683582305,80,0.0,2.9416286296638,0.0
12,-119.51014026175521,-177.29090379934306,0.9762400000000002,2.1246074388424554,97,0.0,2.84348894076117,0.0
13,-308.11312291594845,-187.35415142369732,0.9742600000000002,2.193970094124476,95,0.0,1.1959957830403165,0.0
14,-131.33884869587726,-183.35305837171018,0.9722800000000003,1.6986518637700514,87,0.0,2.25681433155151,0.0
15,-97.36245776969832,-177.62035166490938,0.9703000000000003,2.2359622418880463,79,0.0,2.3070803718982376,0.0
16,-155.84100278778854,-176.25914236008933,0.9683200000000003,1.7264332984175002,109,0.0,3.0778671202213816,0.0
17,-66.66542912278476,-169.81245334613024,0.9663400000000003,1.9101254264513652,63,0.0,2.668087976152578,0.0
18,-67.33830096540834,-164.1194448805346,0.9643600000000003,2.1494914521189297,67,0.0,2.7018374957457967,0.0
19,-154.62294801985465,-163.61962925628825,0.9623800000000003,1.354064328595996,64,0.0,1.8319007795810816,0.0
20,-242.4417572017512,-167.56073565356138,0.9604000000000004,2.3743916464348636,95,0.0,1.6361765082171178,0.0
21,-224.07483480701478,-170.25188323229727,0.9584200000000004,1.7494356244802476,79,0.0,1.1930376228223916,0.0
22,-471.0702974319119,-183.92544751409793,0.9564400000000004,1.9069379938371254,132,0.0,1.6299256465995893,0.0
23,-44.17265299939397,-177.84923905693688,0.9544600000000004,1.5571344792842865,111,0.0,2.674815303621414,0.0
24,-182.59944948246732,-178.047164491334,0.9524800000000004,1.8438874324783683,127,0.0,2.7937674105229497,0.0
25,-214.7416928264304,-179.51494562473783,0.9505000000000005,1.927348172978351,152,0.0,3.20014685360736,0.0
26,-110.50837498730534,-176.86084675406738,0.9485200000000005,1.9395561420491763,110,0.0,2.6319166952737283,0.0
27,-192.16465828754116,-177.42765458864048,0.9465400000000005,1.6807759638343538,114,0.0,2.9203895054411815,0.0
28,-116.75402420685725,-175.2607392178625,0.9445600000000005,1.595603098129404,115,0.0,2.8686030669673697,0.0
29,-144.10435602827042,-174.18638117684208,0.9425800000000005,2.177921049296856,96,0.0,2.570566191167556,0.0
30,-306.90261421531875,-178.61025561145797,0.9406000000000005,1.7120757464851653,112,0.0,1.5162237255173636,0.0
31,-131.6754897093572,-177.09623090493858,0.9386200000000006,1.403196468949318,80,0.0,2.1007394255968688,0.0
32,-113.40044348923628,-175.1057375481979,0.9366400000000006,1.6738999052481218,90,0.0,2.4940835314872913,0.0
33,-466.13864726718964,-183.92491663059158,0.9346600000000006,1.5930989108703755,105,0.0,0.49382973239056027,0.0
34,-78.9723778574654,-180.8380772549114,0.9326800000000006,1.9074300609785935,116,0.0,2.9642813944284794,0.0
35,-92.0889796951959,-178.30238875320524,0.9307000000000006,1.1930500280398588,107,0.0,2.937226400155831,0.0
36,-281.74575261983455,-181.1758155272783,0.9287200000000007,2.077595852315426,78,0.0,1.0356597038661144,0.0
37,-325.8820414611769,-185.08679460657285,0.9267400000000007,1.232957469423612,121,0.0,2.69348251579677,0.0
38,-161.55585472320325,-184.4675593464842,0.9247600000000007,1.28299700319767,79,0.0,1.90930650479138,0.0
39,-182.26876868783813,-184.4111800988266,0.9227800000000007,1.3281370983882383,87,0.0,2.1439230477999054,0.0
40,-80.57353602881646,-181.8152389970763,0.9208000000000007,1.495004233191995,71,0.0,2.4294359826708964,0.0
41,-207.1791968044755,-182.43387211432994,0.9188200000000007,1.8937730118632317,79,0.0,1.9217972990832495,0.0
42,-72.2641954890347,-179.81078457563245,0.9168400000000008,1.5072638345392126,77,0.0,2.6837883373746,0.0
43,-109.1618893259129,-178.16778701168548,0.9148600000000008,1.5190021354576637,113,0.0,3.0183130220210055,0.0
44,-37.449487075546756,-174.9696438313187,0.9128800000000008,1.2833147534857625,95,0.0,2.5469345410494655,0.0
45,-233.0923741479833,-176.2612600605779,0.9109000000000008,1.5981473345910349,121,0.0,2.8442906707988276,0.0
46,-258.4752955717331,-178.0485217021248,0.9089200000000008,1.5404885480801265,120,0.0,2.580211187450069,0.0
47,-333.1268849304553,-181.34806134528074,0.9069400000000009,1.614398575425148,102,0.0,0.9785147612540064,0.0
48,-94.50023462451071,-179.53873162193136,0.9049600000000009,1.7904679918730702,106,0.0,2.964517011478195,0.0
49,-109.13568783586516,-178.10193480997086,0.9029800000000009,1.6236160401912296,137,0.0,3.534720195506697,0.0
50,-33.76214101369423,-175.2151389340453,0.9010000000000009,1.7311863649275996,125,0.0,3.00760172694807,0.0
51,-401.4243554221652,-179.6506137671457,0.8990200000000009,1.2186062128647515,93,0.0,1.6123391018025561,0.0
52,-47.244959728695704,-177.1043511894832,0.897040000000001,0.988658434814877,72,0.0,2.6150972228789264,0.0
53,-119.12451194362195,-176.01039195842924,0.895060000000001,1.3727002339116459,113,0.0,2.8744306509764996,0.0
54,-93.74963239627411,-174.48704455913006,0.893080000000001,1.2216526115762776,119,0.0,2.7635979236626147,0.0
55,-98.81428863798791,-173.11117626965475,0.891100000000001,1.479091305504827,133,0.0,3.4764934492213646,0.0
56,-86.93479802246334,-171.57231237238344,0.889120000000001,1.36916256274866,93,0.0,3.069636804875143,0.0
57,-70.01832703317908,-169.79066350678337,0.887140000000001,1.4877572574963172,98,0.0,2.927660432136828,0.0
58,-190.12913275135097,-170.14132676962075,0.8851600000000011,1.5759832722985225,90,0.0,2.1189690573791977,0.0
59,-103.69828984233136,-169.01517360136162,0.8831800000000011,1.5082496831362897,90,0.0,2.062176262199962,0.0
60,-84.70094131179879,-167.60993639653557,0.8812000000000011,1.8318000525236129,78,0.0,2.2048228468236237,0.0
61,-38.5833220566014,-165.49474599752028,0.8792200000000011,1.8241868538386894,133,0.0,2.9119002811210732,0.0
62,-232.97064620820038,-166.58306696866026,0.8772400000000011,1.824991219002625,114,0.0,2.186928547535823,0.0
63,-123.2464574656832,-165.8951842781368,0.8752600000000011,1.1606748402118683,93,0.0,2.3487433051611766,0.0
64,-246.2549901477601,-167.15080624484966,0.8732800000000012,1.774144388948168,142,0.0,2.6929284280932664,0.0
65,-206.56186678545316,-167.75713025316662,0.8713000000000012,1.5987937476324,89,0.0,1.721068224002346,0.0
66,-132.63672476588772,-167.22500289729876,0.8693200000000012,1.7040298265038114,135,0.0,3.0357359936936117,0.0
67,-88.37554314234399,-166.04814528901585,0.8673400000000012,1.3155701761996303,108,0.0,2.6859694660036593,0.0
68,-334.81904422906473,-168.53007027342832,0.8653600000000012,1.4014713027647563,140,0.0,3.1527449825675156,0.0
69,-119.44085351292277,-167.818632349363,0.8633800000000013,1.2555396384917772,101,0.0,2.6751314232919805,0.0
70,-261.68560062672543,-169.15958903903964,0.8614000000000013,1.5214259262595857,86,0.0,1.6911376249557528,0.0
71,-69.4345613169232,-167.75501118379856,0.8594200000000013,1.677788034081459,74,0.0,3.0671168209877138,0.0
72,-74.46179572151757,-166.45927208015578,0.8574400000000013,1.4026447534561157,93,0.0,2.975119450149689,0.0
73,-78.7552535946528,-165.25784716939546,0.8554600000000013,1.814604085067223,117,0.0,3.2518848453908924,0.0
74,-149.32621674379794,-165.04255486634688,0.8534800000000013,1.1213521148477281,85,0.0,2.2179209849824684,0.0
75,-210.3576833508426,-165.64675657947348,0.8515000000000014,1.3343078017234802,137,0.0,2.8669227270440283,0.0
76,-175.2720102194545,-165.77340465368377,0.8495200000000014,1.67112202167511,100,0.0,2.2165670742728314,0.0
77,-138.63705901361288,-165.42098458043608,0.8475400000000014,1.6177705500055761,71,0.0,1.9372490464407062,0.0
78,-82.68725450381467,-164.36029573329992,0.8455600000000014,2.1980166576410594,75,0.0,2.0647543330802316,0.0
79,-130.89378126506665,-163.93666896787926,0.8435800000000014,1.5176632784307003,81,0.0,2.196307001643733,0.0
80,-117.78297680118318,-163.35974781579552,0.8416000000000015,1.9258840995676376,68,0.0,2.410130655188797,0.0
81,-178.5653663483898,-163.54747150138311,0.8396200000000015,1.3074848139286042,100,0.0,2.464651844921641,0.0
82,-145.28987339708655,-163.32481786596486,0.8376400000000015,1.5712592579700329,108,0.0,2.4020393348951483,0.0
83,-105.5509196611292,-162.628746803256,0.8356600000000015,2.1209876934687295,96,0.0,2.771813607292046,0.0
84,-91.05588750787685,-161.77668895450148,0.8336800000000015,1.3301295747651773,133,0.0,3.0442461416529123,0.0
85,-80.88096451753125,-160.82497454936066,0.8317000000000015,1.2425893783569335,103,0.0,2.586971607972938,0.0
86,-230.4779417186814,-161.63489277225975,0.8297200000000016,1.5072510191372464,140,0.0,2.243736142004259,0.0
