episode,reward,moving_avg_100,epsilon,loss,steps,intrinsic_sum,shaping_sum,icm_loss
1,-93.01729772267262,-93.01729772267262,0.99802,0.7790966629981995,66,1.34363835118711,0.0,1.113520860671997
2,-292.2146596830485,-192.61597870286056,0.99604,2.1374466891090074,97,0.6214884114451706,0.0,1.1034624228874843
3,-102.37946263466701,-162.5371400134627,0.99406,2.4313732907176018,62,0.13686923019122332,0.0,1.0933020412921906
4,-241.84279721492462,-182.3635543138282,0.9920800000000001,2.371551383818899,111,0.5794170829467475,0.0,1.099590275968824
5,-87.02725792569355,-163.29629503620126,0.9901000000000001,2.105570489168167,81,0.09061277637374587,0.0,1.100639182329178
6,-85.00361606209486,-150.2475152071835,0.9881200000000001,2.090155058182203,105,0.1286257231113268,0.0,1.0990721445817213
7,-218.76873280030048,-160.0362605776288,0.9861400000000001,1.9959925059919004,106,0.12536034325603396,0.0,1.0962922705544367
8,-335.7029872472132,-181.99460141132687,0.9841600000000001,1.7433473180841517,110,0.43151458693319,0.0,1.0950765742195978
9,-191.0905001767789,-183.00525682971045,0.9821800000000002,2.2258487782980265,75,0.19046356063336134,0.0,1.095392722832529
10,-152.5115381692163,-179.95588496366102,0.9802000000000002,2.4006252361066416,133,0.20713650989637244,0.0,1.0964142120245732
11,-207.4312623185185,-182.45364654137532,0.9782200000000002,2.0432337785468384,69,0.3797358667070512,0.0,1.0845056211247164
12,-180.22359744718426,-182.2678091168594,0.9762400000000002,1.7072793811559677,80,0.27458852920972276,0.0,1.1025651276111603
13,-157.8154275457484,-180.38685668831238,0.9742600000000002,1.919529092311859,78,0.3348513193195686,0.0,1.0837636947631837
14,-74.6614778353354,-172.83504391309975,0.9722800000000003,2.523899966164639,76,0.08114121099060867,0.0,1.0878686716682033
15,-301.4597648495184,-181.41002530886098,0.9703000000000003,2.0048240987878096,78,0.4260716100689024,0.0,1.0780011666448492
16,-167.47143265224224,-180.53886326782234,0.9683200000000003,2.9112912986589516,91,0.2826436992327217,0.0,1.0755338876143745
17,-141.84757404894563,-178.26290507847665,0.9663400000000003,1.563115832209587,81,0.793743995949626,0.0,1.057325804233551
18,-247.77340123258617,-182.12459930926053,0.9643600000000003,1.6910593564863559,105,2.9052638979046606,0.0,1.0326164894633822
19,-74.08517333421524,-176.43831373162655,0.9623800000000003,1.913797490298748,65,0.4632909199135611,0.0,1.0066698491573334
20,-217.39262283054845,-178.48602918657267,0.9604000000000004,1.897205110300671,88,3.412403764494229,0.0,0.9317948113788258
21,-139.35190816204403,-176.62249961397606,0.9584200000000004,2.294292312601338,93,0.5422542309242999,0.0,0.8889443200567494
22,-167.81748133646545,-176.22227151045283,0.9564400000000004,2.280316180416516,112,0.4328166622435674,0.0,0.766589207308633
23,-131.0474649288467,-174.2581494851656,0.9544600000000004,1.7794266388966486,104,5.134028663916979,0.0,0.7263821409298823
24,-158.88987604776884,-173.61780475860738,0.9524800000000004,1.5578853623433546,86,2.129042386310175,0.0,0.6792949383909052
25,-163.86676560402933,-173.22776319242428,0.9505000000000005,2.107905051112175,83,18.934486058016773,0.0,0.6424248903989792
26,-175.96742705079777,-173.33313487928478,0.9485200000000005,2.152704036484162,95,4.198486531502567,0.0,0.6362890712916851
27,-90.27447291809722,-170.25688813998156,0.9465400000000005,1.0903378641605377,101,1.552473202405963,0.0,0.6045510327816009
28,-195.04816562888215,-171.1422909074423,0.9445600000000005,1.815200740876405,91,3.4917848892800976,0.0,0.6306409978348276
29,-179.0600442693842,-171.4153168854403,0.9425800000000005,1.7622515978636566,109,3.8369918814278208,0.0,0.563883184282868
30,-247.34559502350245,-173.946326156709,0.9406000000000005,1.4695440041167396,109,8.560223855776712,0.0,0.5311891862324306
31,-161.91752357605293,-173.55830026701042,0.9386200000000006,1.4709621623158455,82,2.379403234284837,0.0,0.5865430876612663
32,-116.62141953923944,-171.7790227442676,0.9366400000000006,1.2550215090696628,102,5.3998362402489875,0.0,0.5288743456968894
33,-119.26643523113088,-170.1877322135665,0.9346600000000006,1.649952922302943,105,5.810072131222114,0.0,0.5179400684741827
34,-379.088185171564,-176.33186318291936,0.9326800000000006,1.4679245409511386,83,7.993271843661205,0.0,0.4889915060429346
35,-121.07307562651094,-174.75304068130768,0.9307000000000006,0.9757092880166095,93,6.536675934723462,0.0,0.500039464753607
36,-89.56681084859824,-172.38675651928799,0.9287200000000007,1.9634192225180174,76,1.2160282902332256,0.0,0.5017025533475374
37,-136.12042063733827,-171.4065852792353,0.9267400000000007,1.3735455085833868,121,1.3998413620865904,0.0,0.5996903210878373
38,-375.73786993749246,-176.7837243491894,0.9247600000000007,1.0992144668102264,100,1.428025466913823,0.0,0.5921666836738586
39,-245.38795074359257,-178.54280707725104,0.9227800000000007,1.588395876042983,67,4.733411579800304,0.0,0.6078059778493994
40,-149.51366238678415,-177.81707845998938,0.9208000000000007,1.1102897435426713,61,3.3932520721573383,0.0,0.583973761399587
41,-144.43639379701568,-177.00291541942903,0.9188200000000007,1.2254505008459091,115,2.2551006869762205,0.0,0.636517562742891
42,-202.15404170733063,-177.60175175961717,0.9168400000000008,1.1748153710806812,110,0.8616701753344387,0.0,0.6544618992893784
43,-147.67008192649223,-176.9056664146608,0.9148600000000008,1.264088287949562,72,1.885009314690251,0.0,0.6082318226496378
44,-87.97490268858073,-174.88451269361352,0.9128800000000008,1.017986249178648,63,3.6358240920235403,0.0,0.5892824158072472
45,-179.46693744140185,-174.98634435467548,0.9109000000000008,1.4727758484728195,68,1.3389780800644075,0.0,0.5829440705916461
46,-55.62784075172884,-172.39159427635056,0.9089200000000008,1.3194475736882951,142,0.998288398841396,0.0,0.6162368944949574
47,-186.09409479875447,-172.68313684065703,0.9069400000000009,1.310899747742547,110,5.277227674203459,0.0,0.5634870175962094
48,-113.79431846504266,-171.45628645783168,0.9049600000000009,1.5630165961655704,88,5.045433903142111,0.0,0.5863523510369387
49,-198.90154755765968,-172.01639382721595,0.9029800000000009,1.554248534142971,126,3.5784160902549047,0.0,0.6136501105502248
50,-115.08090739423426,-170.8776840985563,0.9010000000000009,1.1198814386321652,127,0.7123370937770233,0.0,0.5709482844798796
51,-140.15261656090644,-170.27523179389652,0.8990200000000009,1.101773969390813,66,4.760206038423348,0.0,0.5417940406238332
52,-145.77020225608368,-169.80398122586166,0.897040000000001,1.5789951598271728,127,1.2122802408848656,0.0,0.6305651785805821
53,-186.5397785030088,-170.11975098580783,0.895060000000001,1.5477003717422486,101,3.6133339466323378,0.0,0.5828733611106872
54,-103.86858605037834,-168.89287756107768,0.893080000000001,1.5319698855280877,80,1.4264715760655235,0.0,0.5880787253379822
55,-76.12541379116709,-167.20619640162477,0.891100000000001,1.0933484168429124,75,1.8195170952240005,0.0,0.561944266683177
56,-218.8500424115457,-168.1284079375162,0.889120000000001,1.2708556525982344,107,3.141058489040006,0.0,0.5428276967543822
57,-190.7789198670551,-168.5257853397888,0.887140000000001,1.0732942268252372,119,3.052682015520986,0.0,0.5431113908688228
58,-198.95911872989814,-169.05049798444583,0.8851600000000011,1.281334878610713,112,3.391641809124849,0.0,0.525627250117915
59,-229.64278392934892,-170.07748588181707,0.8831800000000011,1.6743676142814832,155,1.0949097337725107,0.0,0.5522796511650085
60,7.25551277985204,-167.12193590412258,0.8812000000000011,1.459046484394507,134,3.182658797770273,0.0,0.5500731287580548
61,-155.3663073953939,-166.92922068266802,0.8792200000000011,1.1923909103870391,100,5.040904195222538,0.0,0.5222252500057221
62,-66.83254034638682,-165.31475809659895,0.8772400000000011,1.4374791198607646,131,1.2271361230377806,0.0,0.4794205499417854
63,-72.27954777630384,-163.83800872643556,0.8752600000000011,1.5669868696819653,130,1.0308630995932617,0.0,0.4523877004782359
64,-92.4717621700772,-162.72291112399245,0.8732800000000012,1.981611180636618,74,0.8596368341859488,0.0,0.4443885650899675
65,-255.2494344052089,-164.14639609754963,0.8713000000000012,1.3540909066796303,102,2.8337145030964166,0.0,0.43705646235209245
66,-127.68987179722386,-163.59402451724165,0.8693200000000012,1.21601770582952,79,1.262065434770193,0.0,0.47061729744861003
67,-91.8855030525572,-162.52374807747023,0.8673400000000012,1.372695249946494,151,1.458331858011661,0.0,0.4930732320798071
68,-302.88594218551816,-164.58789799082388,0.8653600000000012,0.9053195105946582,90,3.342279401847918,0.0,0.4518491016781848
69,-128.79050607076513,-164.06909520937376,0.8633800000000013,1.6312644226210458,84,0.9770004051388241,0.0,0.4611271676563081
70,-335.5400082289297,-166.5186796810817,0.8614000000000013,1.4571871828773748,92,7.83945463100099,0.0,0.43780407827833423
71,-219.30748419575235,-167.26218397002071,0.8594200000000013,1.33452469245954,132,6.142379791206622,0.0,0.45635870731238165
72,-138.57326989331688,-166.8637268300665,0.8574400000000013,1.6812323965132236,114,1.7093906776281074,0.0,0.43117181956768036
73,-77.05411766913711,-165.63345821142363,0.8554600000000013,1.6957512632012368,80,4.915526370452426,0.0,0.4550016850233078
74,-314.35196949081916,-167.64316782330735,0.8534800000000013,1.392851056591157,123,2.595202739481465,0.0,0.4457841073313067
75,-321.4979905767688,-169.69456546002016,0.8515000000000014,1.3956383261829615,129,8.225549004157074,0.0,0.4171452084556222
76,-171.64763107188975,-169.7202636917553,0.8495200000000014,1.6022192927507253,102,4.183938350179233,0.0,0.4343526798945207
77,-26.958388717058853,-167.8662133674086,0.8475400000000014,1.6723849952220917,102,4.984058461923269,0.0,0.47397528767585756
78,-40.88932803359606,-166.23830458107767,0.8455600000000014,1.1867727865775426,119,1.5896776007139124,0.0,0.42583615084489185
79,-153.46878062983592,-166.07666503739105,0.8435800000000014,1.2118486016988754,95,2.4242841852174024,0.0,0.3299086069067319
80,-298.4672127315398,-167.73154688356792,0.8416000000000015,1.1660378065801436,126,2.3374358901637606,0.0,0.3651799218308541
81,-104.19430930006298,-166.9471365430308,0.8396200000000015,1.7463194683596894,147,2.1953246890334412,0.0,0.3861499557623992
82,-102.70927104867862,-166.16374793944118,0.8376400000000015,1.7277617916464805,81,6.8119002171224565,0.0,0.3726625382900238
83,-146.10471363291725,-165.9220728273144,0.8356600000000015,1.3418987228952606,115,0.7087245465954766,0.0,0.3569807127631944
84,-135.1369655247876,-165.55558345466525,0.8336800000000015,1.3417903545655703,76,3.6068733636348043,0.0,0.3439396290402663
85,-154.09712706115448,-165.42077808532983,0.8317000000000015,1.1561792599303382,114,3.5189705488010077,0.0,0.36819207508649143
86,-45.66711724289016,-164.02829365692938,0.8297200000000016,1.1695533007383347,80,5.29450057001668,0.0,0.315848983079195
87,-103.8751599529428,-163.3368783269985,0.8277400000000016,0.7194419088570968,89,5.864138713339344,0.0,0.31376161653062573
88,-89.30285154469556,-162.4955825681087,0.8257600000000016,1.3852498307824135,115,5.360810538491933,0.0,0.32315569104892866
89,-139.84779554493014,-162.24111305099433,0.8237800000000016,1.6568832616595661,136,0.24775241944007576,0.0,0.3426999007077778
90,28.613223097564713,-160.12050931601033,0.8218000000000016,1.2968852470318477,83,9.59150130065973,0.0,0.3209895534174783
91,-105.0007646263078,-159.5147978359037,0.8198200000000017,1.3889610074898775,137,6.218811339029344,0.0,0.2909771103192778
92,-88.98671531221565,-158.74818824325493,0.8178400000000017,0.9981107634305953,98,5.67077904890175,0.0,0.29124839007854464
93,-77.67190698250656,-157.87640027270925,0.8158600000000017,1.5599508647407805,83,1.3617691043182276,0.0,0.29543230930964154
94,-86.94195921013548,-157.1217785592776,0.8138800000000017,0.8011134192347527,80,11.704172278114129,0.0,0.2162954717874527
95,-136.84726318951692,-156.90836260801697,0.8119000000000017,1.5276427364349365,103,7.310154468432302,0.0,0.34470408082008364
96,-30.039992350188186,-155.58681708449794,0.8099200000000017,1.310434228181839,98,12.84010535775451,0.0,0.3050094878673553
97,-87.12738714669315,-154.8810497655515,0.8079400000000018,1.4263239800930023,61,5.6058416437590495,0.0,0.3203154762585958
98,-335.58469310961914,-156.72496449355216,0.8059600000000018,1.3165827735381967,135,14.123696794529678,0.0,0.2900307910407291
99,-81.25947876985667,-155.96268685997947,0.8039800000000018,1.2025255523622036,98,3.9349701714527328,0.0,0.2758022664735715
100,-87.91003474114274,-155.2821603387911,0.8020000000000018,1.372583173836271,95,4.613444112648722,0.0,0.2799748418231805
101,-128.12418288029306,-155.6332291903673,0.8000200000000018,1.4563406797555776,104,4.616106902598403,0.0,0.2952398465803036
102,-87.91957806577355,-153.59027837419455,0.7980400000000019,1.0985365733504295,127,1.4624330558872316,0.0,0.2624770705588162
103,-251.05197158402487,-155.07700346368813,0.7960600000000019,1.499796915267195,111,12.96812687383499,0.0,0.2500917331448623
104,-46.537645440778945,-153.12395194594671,0.7940800000000019,1.4139584653079509,163,1.89342907036189,0.0,0.24955391697585583
105,-104.32260112073057,-153.29690537789708,0.7921000000000019,1.2261732402055159,91,7.83523002039874,0.0,0.19994673392047052
106,-136.38949987861457,-153.81076421606227,0.7901200000000019,1.541708209391298,115,4.102660442906199,0.0,0.27736013999273035
107,-97.09251288424004,-152.59400201690167,0.788140000000002,2.1015925144865397,84,3.2577841773163527,0.0,0.26680650668484823
108,-129.52827269350198,-150.53225487136456,0.786160000000002,1.2135116692918997,105,5.976527147198794,0.0,0.20965132375176138
109,-109.04445073733834,-149.71179437697015,0.784180000000002,1.5330882498196192,110,6.72476373706013,0.0,0.256274081234421
110,-136.5975472769294,-149.55265446804728,0.782200000000002,1.216923563182354,81,4.681947983597638,0.0,0.23666754625737668
111,-147.67711340253874,-148.95511297888748,0.780220000000002,1.3261418160465028,145,3.3594777660619,0.0,0.22074565063748094
112,-111.61237716995015,-148.26900077611512,0.778240000000002,1.1536118019568293,76,3.4145059316651896,0.0,0.19838031538222967
113,-127.60449541567996,-147.96689145481446,0.7762600000000021,1.5111256586387753,126,0.9427722296823049,0.0,0.23709020484238863
114,-53.45853610834103,-147.7548620375445,0.7742800000000021,1.8144537870373045,86,8.854073681810405,0.0,0.2128650134518033
115,-91.49444076984764,-145.6552087967478,0.7723000000000021,1.027198860851618,104,2.811613027297426,0.0,0.21773932644954094
116,-187.67266444393744,-145.85722111466475,0.7703200000000021,1.3567587728301684,119,18.839125329250237,0.0,0.18952591394384702
117,-124.60471019093563,-145.68479247608465,0.7683400000000021,1.2176132789679937,139,3.2848131853388622,0.0,0.1734573545200484
118,-60.59615768423858,-143.81302004060117,0.7663600000000022,1.6228436768054961,80,1.1527682260784786,0.0,0.2163556519895792
119,-259.4809859006693,-145.66697816626572,0.7643800000000022,1.2655950414723363,116,22.400085839966778,0.0,0.18741722148040246
120,-1.578883539879456,-143.50884077335903,0.7624000000000022,1.3495120874473028,141,8.854092245630454,0.0,0.1800168966608388
121,-45.90172277342357,-142.57433891947284,0.7604200000000022,1.2323869466781616,74,3.597669990907889,0.0,0.22422119188639852
122,-143.81695790364267,-142.3343336851446,0.7584400000000022,1.1157268658280373,102,4.250715439848136,0.0,0.1733805603132798
123,-132.25693233838672,-142.34642835924,0.7564600000000022,1.554227727430838,108,3.5054580190917477,0.0,0.2992664040238769
124,-29.52089883606341,-141.05273858712292,0.7544800000000023,1.045859606035294,126,6.479321777907899,0.0,0.180552649161508
125,-113.9015424595041,-140.5530863556777,0.7525000000000023,1.117361867800355,126,1.9967045541852713,0.0,0.17108438885770738
126,-104.38196308347781,-139.83723171600448,0.7505200000000023,1.5513973464568456,121,1.3351033187354915,0.0,0.2186953360835711
127,-46.41781406677802,-139.39866512749128,0.7485400000000023,1.6415786586309735,77,6.056710720760748,0.0,0.2285019390677151
128,-169.04580011704633,-139.13864147237294,0.7465600000000023,1.0162580128638976,124,7.052140635176329,0.0,0.1849727222035008
129,-191.93064929013048,-139.2673475225804,0.7445800000000024,1.2389595234586346,121,23.399605221959064,0.0,0.178389671468927
130,31.325472285072323,-136.48063684949466,0.7426000000000024,1.1799240838258693,158,20.052879757422488,0.0,0.1691850532705967
131,-108.24257565060284,-135.94388737024016,0.7406200000000024,2.0800373689694838,88,4.1613659861905035,0.0,0.24763902446085756
