episode,reward,moving_avg_100,epsilon,loss,steps,intrinsic_sum,shaping_sum,icm_loss
1,-246.69459897776235,-246.69459897776235,0.99802,0.9000819206237793,120,0.0,2.1291527771013694,0.0
2,-191.1439312464292,-218.9192651120958,0.99604,1.5319877473207621,107,0.0,1.8770327932877247,0.0
3,-131.1627115031215,-189.66708057577102,0.99406,1.2519156292632774,106,0.0,2.7376635578855724,0.0
4,-132.12963117257164,-175.28271822497118,0.9920800000000001,1.2619212344288826,111,0.0,3.191599958713125,0.0
5,-100.80925214439905,-160.38802500885674,0.9901000000000001,1.946137142808814,77,0.0,2.264185673283288,0.0
6,-111.25246935693418,-152.1987657335363,0.9881200000000001,1.355171280748704,69,0.0,2.5208952433691865,0.0
7,-429.36944746329925,-191.79457740921674,0.9861400000000001,1.7100602638721467,99,0.0,0.9102581458475838,0.0
8,-419.63597511788925,-220.2747521228008,0.9841600000000001,2.012913839570407,116,0.0,1.1918049997530302,0.0
9,-202.66168324569537,-218.3177444697891,0.9821800000000002,1.8355235755443573,65,0.0,1.820680193899902,0.0
10,-190.66877460411195,-215.55284748322137,0.9802000000000002,1.5339787850777309,72,0.0,1.8110510274599074,0.0
11,-106.51952432834577,-205.64072719641447,0.9782200000000002,1.5165279047055678,87,0.0,2.1910268105962185,0.0
12,-196.64995870966928,-204.8914964891857,0.9762400000000002,1.884987668991089,102,0.0,2.483606124267989,0.0
13,-227.50721676651725,-206.63116727974966,0.9742600000000002,2.196763253981067,123,0.0,2.1009524558798933,0.0
14,-49.007331645911194,-195.3723218773326,0.9722800000000003,1.613614334946587,85,0.0,2.932455919798629,0.0
15,-206.18199706852408,-196.0929668900787,0.9703000000000003,1.826202739889805,104,0.0,1.9824940913741214,0.0
16,-97.82104190935624,-189.9509715787836,0.9683200000000003,1.4992872128883998,94,0.0,2.17137059080584,0.0
17,-76.614833762659,-183.28413994254097,0.9663400000000003,2.0643602298653643,92,0.0,3.2254420879375703,0.0
18,-113.29957760103683,-179.3961087013463,0.9643600000000003,1.8138795793056488,80,0.0,2.276893371521086,0.0
19,-139.26229087481693,-177.28380249995,0.9623800000000003,1.554777231812477,79,0.0,2.0336991403774425,0.0
20,-99.3577943855063,-173.38750209422784,0.9604000000000004,1.4726976734750412,69,0.0,1.7581444865650409,0.0
21,-109.98078835129029,-170.36813477313558,0.9584200000000004,1.560519565554226,67,0.0,2.50649721403645,0.0
22,-145.58606997977265,-169.24167728252817,0.9564400000000004,1.8495714327981394,125,0.0,2.6774308042810153,0.0
23,-91.53162816875208,-165.86297949497268,0.9544600000000004,1.5389873832464218,71,0.0,1.8678129810463366,0.0
24,-108.8012888438601,-163.48540905117633,0.9524800000000004,1.7207942068576814,80,0.0,2.554456857812282,0.0
25,-68.6860157638781,-159.6934333196844,0.9505000000000005,1.5667325881394474,133,0.0,3.164279492116954,0.0
26,9.719067092221152,-153.1775679192265,0.9485200000000005,1.7972340375185012,79,0.0,2.613106678356794,0.0
27,-108.9224267432721,-151.53848861641336,0.9465400000000005,1.728881910443306,121,0.0,3.1966343343958767,0.0
28,-133.0212908551796,-150.87716012494073,0.9445600000000005,1.7128786950007728,93,0.0,2.296633709805832,0.0
29,-103.17001935705116,-149.23208630535834,0.9425800000000005,1.5921706557273865,101,0.0,2.6201184224755867,0.0
30,-103.29526531097183,-147.70085893887878,0.9406000000000005,1.1474748756736517,125,0.0,2.956950251831571,0.0
31,-164.20203384603553,-148.23315490362577,0.9386200000000006,1.669120321671168,96,0.0,2.179402939647453,0.0
32,-65.84819706628168,-145.65862497120878,0.9366400000000006,1.6106765577287385,133,0.0,3.6245509078148754,0.0
