episode,reward,moving_avg_100,epsilon,loss,steps
1,-93.01729772267262,-93.01729772267262,0.99802,0.7814247608184814,66
2,-292.2146596830485,-192.61597870286056,0.99604,2.140883599718412,97
3,-102.37946263466701,-162.5371400134627,0.99406,2.4349344596266747,62
4,-241.84279721492462,-182.3635543138282,0.9920800000000001,2.3732360239539827,111
5,-87.02725792569355,-163.29629503620126,0.9901000000000001,2.10562002658844,81
6,-85.00361606209486,-150.2475152071835,0.9881200000000001,2.090179681777954,105
7,-218.76873280030048,-160.0362605776288,0.9861400000000001,1.996398764627951,106
8,-335.7029872472132,-181.99460141132687,0.9841600000000001,1.7439060741000705,110
9,-191.0905001767789,-183.00525682971045,0.9821800000000002,2.2263396852894832,75
10,-152.5115381692163,-179.95588496366102,0.9802000000000002,2.4010749477328677,133
11,-207.4312623185185,-182.45364654137532,0.9782200000000002,2.0434939037351048,69
12,-180.22359744718426,-182.2678091168594,0.9762400000000002,1.7083715483546258,80
13,-157.8154275457484,-180.38685668831238,0.9742600000000002,1.9211673587560654,78
14,-74.6614778353354,-172.83504391309975,0.9722800000000003,2.527145266532898,76
15,-301.4597648495184,-181.41002530886098,0.9703000000000003,2.007173406450372,78
16,-167.47143265224224,-180.53886326782234,0.9683200000000003,2.9150514188020127,91
17,-141.84757404894563,-178.26290507847665,0.9663400000000003,1.5649313747882843,81
18,-247.77340123258617,-182.12459930926053,0.9643600000000003,1.6959093665635143,105
19,-74.08517333421524,-176.43831373162655,0.9623800000000003,1.9226785264909267,65
20,-217.39262283054845,-178.48602918657267,0.9604000000000004,1.9087544286792928,88
21,-139.35190816204403,-176.62249961397606,0.9584200000000004,2.301948583644369,93
22,-167.81748133646545,-176.22227151045283,0.9564400000000004,2.286399890269552,112
23,-131.0474649288467,-174.2581494851656,0.9544600000000004,1.7851190372155263,104
24,-158.88987604776884,-173.61780475860738,0.9524800000000004,1.5618926652453162,86
25,-163.86676560402933,-173.22776319242428,0.9505000000000005,2.1096912950277327,83
26,-175.96742705079777,-173.33313487928478,0.9485200000000005,2.1536076441407204,95
27,-90.27447291809722,-170.25688813998156,0.9465400000000005,1.0873197281360627,101
28,-195.04816562888215,-171.1422909074423,0.9445600000000005,1.8419344062390535,91
29,-174.5911300405811,-171.26121639479192,0.9425800000000005,1.777322813316628,109
30,-247.34559502350245,-173.79736234908225,0.9406000000000005,1.46771582535335,109
31,-161.91752357605293,-173.41414174350066,0.9386200000000006,1.4863874405622481,82
32,-116.62141953923944,-171.6393691746175,0.9366400000000006,1.2515522424991314,102
33,-119.26643523113088,-170.05231057026944,0.9346600000000006,1.654782670048567,105
34,-379.088185171564,-176.20042452913106,0.9326800000000006,1.4690749595562618,83
35,-121.07307562651094,-174.6253574176276,0.9307000000000006,0.9748395648987397,93
36,-89.56681084859824,-172.26262001293236,0.9287200000000007,1.9751275683704175,76
37,-136.12042063733827,-171.28580381359197,0.9267400000000007,1.3688208237290382,121
38,-375.73786993749246,-176.6661213431683,0.9247600000000007,1.1000699055194856,100
39,-245.38795074359257,-178.42821953292275,0.9227800000000007,1.6048981231801651,67
40,-149.51366238678415,-177.7053556042693,0.9208000000000007,1.1206047773361205,61
41,-144.43639379701568,-176.89391751140946,0.9188200000000007,1.2299523518003266,115
42,-202.15404170733063,-177.49534903988373,0.9168400000000008,1.180576205253601,110
43,-147.67008192649223,-176.8017381767816,0.9148600000000008,1.2666231791178386,72
44,-87.97490268858073,-174.7829464611407,0.9128800000000008,1.022930160164833,63
45,-179.46693744140185,-174.88703514959096,0.9109000000000008,1.4743627888314865,68
46,-55.62784075172884,-172.2944439670287,0.9089200000000008,1.318674864868323,142
47,-186.09409479875447,-172.5880535591931,0.9069400000000009,1.316035987050445,110
48,-113.79431846504266,-171.36318407806496,0.9049600000000009,1.582885211164301,88
49,-203.58818701112267,-172.02083719914776,0.9029800000000009,1.5637501906603575,126
50,-115.08090739423426,-170.88203860304952,0.9010000000000009,1.1477796771833975,127
51,-140.15261656090644,-170.27950091594866,0.8990200000000009,1.1020355776828878,66
52,-145.77020225608368,-169.80816824941283,0.897040000000001,1.5833720131777227,127
53,-186.5397785030088,-170.12385900891462,0.895060000000001,1.5022310620546342,101
54,-103.86858605037834,-168.8969095096825,0.893080000000001,1.633791983127594,80
55,-76.12541379116709,-167.21015504207313,0.891100000000001,1.092230787402705,75
56,-218.8500424115457,-168.13229588795653,0.889120000000001,1.263294042303012,107
57,-190.7789198670551,-168.52960508057228,0.887140000000001,1.0991614520549775,119
58,-198.95911872989814,-169.0542518676296,0.8851600000000011,1.2814433452274119,112
59,-229.64278392934892,-170.08117613986212,0.8831800000000011,1.6923101804195306,155
60,9.339544545325225,-167.09083079510899,0.8812000000000011,1.353073976732589,147
61,-153.5624818049795,-166.86905458215605,0.8792200000000011,1.3668234214186668,82
62,-201.79074628308507,-167.4323076741065,0.8772400000000011,1.5951158456942613,66
63,-188.9464579175822,-167.77380212241565,0.8752600000000011,1.5322658683984511,126
64,-84.93373623943128,-166.4794260929941,0.8732800000000012,1.2208768455311656,65
65,-290.8082371689193,-168.39217703262372,0.8713000000000012,1.8051562809944153,99
66,-142.0348285882297,-167.9928232683147,0.8693200000000012,1.139548803546599,112
67,-102.09896959872066,-167.0093329150372,0.8673400000000012,1.2702242332425984,89
68,-62.68195399319481,-165.47510675442186,0.8653600000000012,1.2861843539135798,140
69,-241.4093393015354,-166.5756028782931,0.8633800000000013,1.5518404836101192,112
70,-338.58636179109186,-169.03289943419023,0.8614000000000013,1.2643496621814039,142
71,-52.77604514967123,-167.39547895130966,0.8594200000000013,1.3654853742231021,88
72,-70.41189444917796,-166.04848472211336,0.8574400000000013,1.8294566461914463,75
73,-176.79422916341804,-166.19568670076134,0.8554600000000013,1.4983413899722307,95
74,3.9237158500322664,-163.89677585548034,0.8534800000000013,1.71257995814085,62
75,-257.05300391221033,-165.13885889623674,0.8515000000000014,1.0352031133676831,77
76,-216.32623059359952,-165.81237694488624,0.8495200000000014,1.339074851406945,178
77,-56.69859602701651,-164.39531485504375,0.8475400000000014,1.3958457310994465,75
78,34.654028822634416,-161.84340019250942,0.8455600000000014,1.372353114542507,165
79,-352.56489363537435,-164.25759631203934,0.8435800000000014,1.3102009448599308,190
80,-144.45103537415443,-164.01001430031585,0.8416000000000015,1.2036010891199111,121
81,-114.81776787112965,-163.40270261600492,0.8396200000000015,1.7608731494595606,93
82,-153.23131570926927,-163.27866131226423,0.8376400000000015,1.4734905660152435,83
83,-249.3080195444357,-164.3151596042181,0.8356600000000015,1.5268629600222294,103
84,-178.5774602103715,-164.4849488971485,0.8336800000000015,1.488541335860888,120
85,-36.94289564410546,-162.98445415299506,0.8317000000000015,1.1949894557828489,93
86,-136.30139118229548,-162.67418597891717,0.8297200000000016,1.2621448522104937,68
87,-122.4260417124674,-162.21156363102696,0.8277400000000016,1.1269144184059567,106
88,-85.9420985003924,-161.34486516363333,0.8257600000000016,1.4416027237971625,122
89,-89.46793532569772,-160.5372592103981,0.8237800000000016,2.027218321710825,77
90,-0.7437679583924393,-158.7617759742647,0.8218000000000016,1.3675936586581743,107
91,-61.32519859438936,-157.69104435470564,0.8198200000000017,1.5713275812174146,73
92,-85.94907468249475,-156.91124033652943,0.8178400000000017,1.5791392879826682,112
93,-55.801645658377126,-155.82404039375362,0.8158600000000017,1.4181130131085713,75
94,8.486811961392036,-154.07605260274144,0.8138800000000017,1.2053583589467136,85
95,-128.79160952206337,-153.80990057031323,0.8119000000000017,1.139278878768285,133
96,-12.178951560700185,-152.33457818479644,0.8099200000000017,1.4128104249636333,146
97,-75.36623468878713,-151.541090107518,0.8079400000000018,1.4655458738929348,73
98,-232.16404932610226,-152.3637733648505,0.8059600000000018,1.1738069451624347,126
99,-162.44691018006472,-152.46562323167083,0.8039800000000018,1.3085390572037017,139
100,-139.30461271647866,-152.3340131265189,0.8020000000000018,1.5642123807359625,109
101,-267.2163971562281,-154.07600412085444,0.8000200000000018,1.4396716360304807,149
102,-244.52140294472122,-153.5990715534712,0.7980400000000019,1.2199687979051046,137
103,-100.49789675430281,-153.58025589466754,0.7960600000000019,1.625384372472763,143
104,-30.606602289050656,-151.46789394540878,0.7940800000000019,1.205266374437248,133
105,-206.57189692627844,-152.66334033541466,0.7921000000000019,1.4401700256332275,126
106,-280.6834946533212,-154.6201391213269,0.7901200000000019,1.583109010476619,129
107,-79.12644228237883,-153.2237162161477,0.788140000000002,1.160660865760985,84
108,-100.75482860722796,-150.87423462974783,0.786160000000002,1.0223721101880074,77
109,-136.02067771622617,-150.32353640514233,0.784180000000002,1.4102094545960426,113
110,-220.53378099818462,-151.00375883343202,0.782200000000002,1.720512370268504,84
111,-187.91858393204305,-150.80863204956728,0.780220000000002,1.489724389062478,105
112,-126.52375351718533,-150.27163361026726,0.778240000000002,1.2086097575151002,103
113,-195.62486250352197,-150.64972795984502,0.7762600000000021,1.9988570298467363,111
114,-127.9185363020752,-151.1822985445124,0.7742800000000021,1.5756534717299722,90
115,-185.62480036288196,-150.02394889964606,0.7723000000000021,1.409089825370095,132
116,-220.84622112295926,-150.55769678435323,0.7703200000000021,1.3364497274160385,86
117,-132.58848595027877,-150.46510590336655,0.7683400000000021,0.9201940203967848,79
118,-66.69050850702125,-148.65427697611088,0.7663600000000022,1.7841592509495585,73
119,-198.50214137564214,-149.89844665652515,0.7643800000000022,1.057457962539047,128
120,-146.83702330105024,-149.19289066123017,0.7624000000000022,1.1289226633051168,94
121,-115.67835958063237,-148.95615517541603,0.7604200000000022,0.9583986488080793,124
122,-63.88552301992374,-147.91683559225064,0.7584400000000022,1.6239914643764495,98
123,-126.48010012046865,-147.87116194416686,0.7564600000000022,1.1143265911511013,143
124,-242.5125442668655,-148.7073886263578,0.7544800000000023,1.1228164910308776,122
125,-69.5594921116369,-147.7643158914339,0.7525000000000023,1.2607585636052219,222
126,-145.98263526434818,-147.4644679735694,0.7505200000000023,1.6468732538430586,91
127,-114.63171234677375,-147.70804036785617,0.7485400000000023,1.4238821527232295,92
128,-140.76202904595593,-147.16517900202692,0.7465600000000023,1.1685511881242627,183
129,-16.84914963712305,-145.58775919799234,0.7445800000000024,1.5301722593605518,161
130,-112.9907240266504,-144.2442104880238,0.7426000000000024,1.3493851194014916,155
