episode,reward,moving_avg_100,epsilon,loss,steps
1,-294.09245091399504,-294.09245091399504,0.99802,1.1042104146697305,105
2,-106.72658131084,-200.40951611241752,0.99604,3.058719885349274,82
3,-127.55671952532308,-176.12525058338602,0.99406,3.0133340255073877,90
4,-376.5135339838847,-226.2223214335107,0.9920800000000001,3.1280387947636266,126
5,-109.19263367132228,-202.81638388107302,0.9901000000000001,2.8848825199850676,113
6,-400.85655817975515,-235.82307959752004,0.9881200000000001,2.9505263368288674,73
7,-108.17870877650982,-217.58816948023286,0.9861400000000001,2.79682601731399,115
8,-166.85243328250897,-211.2462024555174,0.9841600000000001,2.6653812419284475,89
9,-91.34622341844307,-197.92398256250914,0.9821800000000002,2.6640629291534426,80
10,-252.6945415962778,-203.401038465886,0.9802000000000002,2.972364213731554,110
11,-85.76502591353602,-192.70685550658146,0.9782200000000002,2.9186932274273465,109
12,-185.76809473068153,-192.12862544192316,0.9762400000000002,2.9373702473110623,75
13,-65.23634161295095,-182.36768053200223,0.9742600000000002,3.2718110531568527,125
14,-119.6968777551451,-177.89119461936957,0.9722800000000003,3.0259891629219053,82
15,-360.11153993308517,-190.03921764028394,0.9703000000000003,3.0983733884219467,114
16,-109.10322547093776,-184.98071812969977,0.9683200000000003,3.0744074793422924,68
17,-175.34071805041378,-184.41365930150647,0.9663400000000003,3.3076276026274027,76
18,-126.68172291378632,-181.20632950218868,0.9643600000000003,2.792204881707827,97
19,-154.55809769056458,-179.8037909857874,0.9623800000000003,3.148634920801435,141
20,-136.3105676848952,-177.6291298207428,0.9604000000000004,3.1370581074764856,74
21,-240.5133554776248,-180.6236167567848,0.9584200000000004,3.065832303629981,73
22,29.971507245044563,-171.05111112033802,0.9564400000000004,2.881724558378521,76
23,-305.6445319012357,-176.90299898037705,0.9544600000000004,3.385788893699646,121
24,-160.39116341981537,-176.21500583202032,0.9524800000000004,2.8833507823944093,100
25,-132.75319640159933,-174.4765334548035,0.9505000000000005,3.198678789138794,101
26,-365.8101835766032,-181.83551999794963,0.9485200000000005,3.371427904475819,88
27,-77.05705603031737,-177.9548361472966,0.9465400000000005,3.126861396957846,66
28,-125.95263153333215,-176.09761455394073,0.9445600000000005,3.010144131524222,83
29,-112.73104267103894,-173.91256035108205,0.9425800000000005,3.02211757004261,65
30,-103.16443548512291,-171.55428952221675,0.9406000000000005,3.3865823480818005,71
31,-91.90952147760242,-168.98510345626147,0.9386200000000006,3.1564791039987043,89
32,-268.81280364516954,-172.10471908716482,0.9366400000000006,3.2814008813155326,78
33,-161.09395978434236,-171.77105971435202,0.9346600000000006,3.009530258178711,98
34,-335.4707399425845,-176.585756191653,0.9326800000000006,3.1515395417809486,129
35,-168.73589984365597,-176.3614745817102,0.9307000000000006,3.3204144154276167,112
36,-9.919312115100084,-171.73808117985993,0.9287200000000007,2.9492878715197244,118
37,-181.30793884581243,-171.99672598164244,0.9267400000000007,2.9948684630855436,127
38,-145.4327436113564,-171.29767381400333,0.9247600000000007,3.221887226457949,105
39,-180.78165730360843,-171.54085287783934,0.9227800000000007,3.3090744070384814,93
40,-101.45342868476287,-169.78866727301244,0.9208000000000007,2.9950811681540115,92
41,-143.67306684024132,-169.1517014087985,0.9188200000000007,2.727006127436956,95
42,-287.3535687862976,-171.96603158445325,0.9168400000000008,2.992968325614929,102
43,-58.92386799206768,-169.3371440590489,0.9148600000000008,3.2892853200435637,79
44,-70.62792311071416,-167.09375267385948,0.9128800000000008,3.3367177546024323,80
45,-95.58885114150468,-165.5047548620294,0.9109000000000008,2.7226084300449918,83
46,-146.73254589335514,-165.0966633627104,0.9089200000000008,3.0559733169419423,59
47,-215.22752617153714,-166.16327746502583,0.9069400000000009,3.056838459438748,108
48,-354.8395087791622,-170.09403228407038,0.9049600000000009,2.793449339659318,90
49,-147.98580568322302,-169.6428439860939,0.9029800000000009,3.475427147888002,84
50,-55.931782897647395,-167.36862276432498,0.9010000000000009,2.5985040288222465,76
51,-134.1948798595513,-166.71815721717255,0.8990200000000009,3.3044608354568483,80
52,-76.27396320036459,-164.9788457937724,0.897040000000001,3.2330286411138682,104
53,-252.39562317309597,-166.62821895187284,0.895060000000001,2.9765463085735546,137
54,-196.0468523584006,-167.17300845940113,0.893080000000001,3.016829165545377,131
55,-33.8119928616139,-164.74826272125955,0.891100000000001,2.8740738422974297,93
56,-149.44059453009,-164.47491150356004,0.889120000000001,3.0058839434669133,82
57,-76.85181093338772,-162.93766412513597,0.887140000000001,2.6591757386922836,67
58,-55.174883350340686,-161.07968514626018,0.8851600000000011,2.857425068554125,73
59,-327.56887242258665,-163.90153577806234,0.8831800000000011,2.994730926695324,87
60,-72.55942750202685,-162.37916730679507,0.8812000000000011,2.926973352829615,94
61,-80.51763155674973,-161.03717491745007,0.8792200000000011,2.681473331451416,100
62,-126.79041968754854,-160.48480789761294,0.8772400000000011,2.9378548369688144,67
63,-92.05002731504882,-159.39854153915954,0.8752600000000011,2.731942156265522,117
64,-138.57799240365028,-159.07322045891723,0.8732800000000012,3.0139576530456544,101
65,-21.035372048079964,-156.94956125259665,0.8713000000000012,2.8084198497235775,129
66,-134.2311585779587,-156.60534303025366,0.8693200000000012,2.6849671931102357,113
67,-161.80911876697297,-156.68301132483157,0.8673400000000012,3.130396935674879,110
68,-295.46826843372423,-158.7239709881976,0.8653600000000012,3.0235623229633677,175
69,-42.782951464805464,-157.04366635742383,0.8633800000000013,2.445812783743206,75
70,-156.77804900175784,-157.03987182377145,0.8614000000000013,2.8577835663505224,92
71,-79.46794095244655,-155.94730941713308,0.8594200000000013,2.840625023841858,142
72,-263.9881477856837,-157.4478766166963,0.8574400000000013,2.952468510184969,112
73,-168.161568903881,-157.59463952473993,0.8554600000000013,2.785805468559265,100
74,-149.19881362474467,-157.48118241798323,0.8534800000000013,2.9370136857032776,121
75,-67.54463044280027,-156.2820283916475,0.8515000000000014,2.885362450565611,112
76,-198.50742743317488,-156.83762574745705,0.8495200000000014,2.813565703233083,120
77,-157.82680532423936,-156.8504722354672,0.8475400000000014,2.86774676044782,96
78,-95.04137800938199,-156.0580479505174,0.8455600000000014,2.4287978434562683,99
79,-159.54794654567692,-156.1022238821017,0.8435800000000014,2.4904364232094056,123
80,-81.55983495516817,-155.170444020515,0.8416000000000015,2.760343188047409,80
81,-81.2382795382218,-154.25770124912864,0.8396200000000015,2.6010921669006346,101
82,-52.3982487491121,-153.0155128040065,0.8376400000000015,2.815070895353953,119
83,-52.33327476925045,-151.80247379153957,0.8356600000000015,2.6940421245314856,87
84,-32.895924409450814,-150.386919632229,0.8336800000000015,2.5960616052150725,81
85,-66.5878679536737,-149.4010484360107,0.8317000000000015,2.79860512415568,72
86,-199.14929325907158,-149.97951639906955,0.8297200000000016,2.4430301436062516,118
87,-149.798541247079,-149.97743622490876,0.8277400000000016,2.527334447090442,103
88,-79.48875357427112,-149.17642846751508,0.8257600000000016,2.630655753612518,80
89,-289.3250712587172,-150.75113231910163,0.8237800000000016,2.448962636896082,148
90,-82.8123361795435,-149.9962568064399,0.8218000000000016,2.510234622955322,99
91,-133.69393329141968,-149.81711039418693,0.8198200000000017,2.378908157348633,81
92,-113.6056474691553,-149.42350753630615,0.8178400000000017,2.2904583916944614,69
93,-101.80764476273548,-148.91150901185915,0.8158600000000017,2.6666783311150293,88
94,-56.74507315485129,-147.93101501338032,0.8138800000000017,2.5428770710440243,68
95,-138.0249173827978,-147.82674030147948,0.8119000000000017,2.380244016647339,104
96,-223.73283557911662,-148.61742879395487,0.8099200000000017,2.651815565732809,104
97,-324.72996110207646,-150.43302191053345,0.8079400000000018,2.5721221566200256,95
98,-69.81802436339748,-149.61041989474634,0.8059600000000018,2.6509702456624886,75
99,-107.0609545950467,-149.1806273159615,0.8039800000000018,2.415815144777298,130
100,-56.619338609282764,-148.25501442889473,0.8020000000000018,2.386582998129038,103
101,-207.51314749394572,-147.3892213946942,0.8000200000000018,2.5281750774383545,101
102,-297.6018117467248,-149.29797369905305,0.7980400000000019,2.495183229446411,146
103,-125.31254676000208,-149.27553197139986,0.7960600000000019,2.571684663112347,103
104,-269.50330431387783,-148.20542967469976,0.7940800000000019,2.343394406380192,124
105,6.921538161245451,-147.0442879563741,0.7921000000000019,2.4330220818519592,139
106,-177.82225259956803,-144.8139449005722,0.7901200000000019,2.3810644880417855,123
107,-18.683407436558355,-143.9189918871727,0.788140000000002,2.1285577071340462,74
108,-122.27305736582817,-143.4731981280059,0.786160000000002,2.2709379543860755,98
109,-127.12622600404411,-143.83099815386188,0.784180000000002,2.443852892943791,111
110,-138.070083367949,-142.68475357157863,0.782200000000002,2.359156406444052,94
111,-101.47884670530544,-142.84189177949634,0.780220000000002,2.5861191863105413,81
112,-177.084148582931,-142.7550523180188,0.778240000000002,2.473443893285898,105
113,-111.8740146643004,-143.22142904853234,0.7762600000000021,2.653988612734753,94
114,-97.09556559887935,-142.99541592696968,0.7742800000000021,2.1257224480311074,130
115,-138.86733581386517,-140.7829738857775,0.7723000000000021,2.149336887523532,130
116,-87.09397690632241,-140.56288140013132,0.7703200000000021,2.4766116210392544,137
117,-87.8790310356814,-139.688264529984,0.7683400000000021,2.142223257284898,156
118,-54.17191984788903,-138.963166499325,0.7663600000000022,2.1028212118148804,103
119,-202.34396276329448,-139.4410251500523,0.7643800000000022,2.250658067067464,120
120,-113.06498899949206,-139.20856936319828,0.7624000000000022,2.06334137575967,138
121,-128.9974681015887,-138.09341048943793,0.7604200000000022,2.3205988577433994,114
122,-120.7477990514764,-139.6006035524031,0.7584400000000022,2.194247533535135,113
123,-98.71847173801997,-137.53134295077095,0.7564600000000022,2.1963875703513622,128
124,-40.78100501091279,-136.33524136668194,0.7544800000000023,2.1336973855892816,98
125,-66.42185150066435,-135.6719279176726,0.7525000000000023,2.2712401205843147,130
126,-171.50057976436398,-133.7288318795502,0.7505200000000023,1.9191310316324235,242
127,-130.11191761117925,-134.25938049535884,0.7485400000000023,2.0580000042915345,79
128,23.259740051778664,-132.7672567795077,0.7465600000000023,1.676575180143118,97
129,-200.80261858933957,-133.6479725386907,0.7445800000000024,1.882011682987213,99
130,-74.70987341135779,-133.36342691795306,0.7426000000000024,2.300846451666297,166
131,-77.10870578262399,-133.21541876100326,0.7406200000000024,2.117745305362501,74
132,-40.55701009906164,-130.93286082554218,0.7386400000000024,2.082052302360535,121
133,-271.5329174162414,-132.03725040186117,0.7366600000000024,2.0115148536860943,129
134,13.24042612145864,-128.55013874122076,0.7346800000000024,2.2455315299936243,147
135,-145.4754519264144,-128.31753426204835,0.7327000000000025,2.1598450200898305,112
136,-77.17457306929006,-128.99008687159025,0.7307200000000025,2.208655588088497,125
137,-14.60174774896717,-127.3230249606218,0.7287400000000025,2.1561955778222335,75
138,-14.913409589287056,-126.0178316204011,0.7267600000000025,2.1472071409225464,132
139,-107.57553161775128,-125.28577036354253,0.7247800000000025,2.188623519738515,118
140,-73.88089506168151,-125.01004502731173,0.7228000000000026,1.791144146638758,71
141,-106.63018306205137,-124.6396161895298,0.7208200000000026,2.2657949420122,103
142,-72.4780015761591,-122.49086051742842,0.7188400000000026,2.378446721113645,102
143,-84.34033685448595,-122.7450252060526,0.7168600000000026,2.091748138268789,97
144,-117.00953722177981,-123.20884134716327,0.7148800000000026,2.143176906449454,140
145,-44.952444909056425,-122.70247728483879,0.7129000000000026,2.0575126806894937,83
146,-35.1512649987357,-121.58666447589259,0.7109200000000027,2.2514467741313733,155
147,-26.376532540093976,-119.69815453957817,0.7089400000000027,1.9521934286407803,89
148,-138.53396267704431,-117.535099078557,0.7069600000000027,2.185866169307543,94
149,-30.10320887560337,-116.3562731104808,0.7049800000000027,2.035785554033337,131
150,-30.741413460194337,-116.10436941610625,0.7030000000000027,2.0164429247379303,80
151,-136.83604933559462,-116.13078111086668,0.7010200000000028,2.0543319215165807,190
152,-122.46556685993963,-116.59269714746245,0.6990400000000028,2.2412915370043587,201
153,-76.53773262463835,-114.83411824197785,0.6970600000000028,2.177090803782145,96
154,-115.62689266046917,-114.02991864499853,0.6950800000000028,1.8736959497133892,111
155,-112.4023229553522,-114.81582194593591,0.6931000000000028,1.9756908395460673,109
156,-82.97855470899712,-114.15120154772501,0.6911200000000028,1.890140134554643,157
157,-143.1337907287974,-114.81402134567911,0.6891400000000029,2.1346136047726585,167
158,-248.44337043743286,-116.74670621655001,0.6871600000000029,2.023420536518097,121
159,-61.58555907140333,-114.08687308303818,0.6851800000000029,2.2319515409140753,116
160,-69.82780968502745,-114.0595569048682,0.6832000000000029,2.0374081160711204,185
161,-219.23025537844114,-115.44668314308512,0.6812200000000029,2.124854193379482,192
