episode,reward,moving_avg_100,epsilon,loss,steps
1,-182.09487463417952,-182.09487463417952,0.99802,0.9624693827195601,105
2,-9.255341380832348,-95.67510800750594,0.99604,1.7983728349208832,90
3,-382.73605332724736,-191.36208978075308,0.99406,2.3857736690291045,113
4,-130.98564002114838,-176.2679773408519,0.9920800000000001,2.6027482052644095,121
5,-110.9654085714654,-163.2074635869746,0.9901000000000001,2.0237715875401214,70
6,-181.72214629727074,-166.29324403869063,0.9881200000000001,2.207892451021406,108
7,-227.84560985122383,-175.0864391547668,0.9861400000000001,2.0976502990722654,100
8,-88.33775906647509,-164.24285414373034,0.9841600000000001,2.251705590635538,63
9,-341.0495598537353,-183.8880436670642,0.9821800000000002,1.7464233040809631,95
10,-247.6509494281717,-190.26433424317497,0.9802000000000002,2.2050638529989453,72
11,-105.33736289861172,-182.5437004845783,0.9782200000000002,1.9525539070367812,80
12,-119.51014026175521,-177.29090379934306,0.9762400000000002,2.111097574234009,97
13,-308.11312291594845,-187.35415142369732,0.9742600000000002,2.183581275244554,95
14,-132.68137133444276,-183.44895284589342,0.9722800000000003,1.6836840564554387,88
15,-92.44363082342915,-177.3819313777291,0.9703000000000003,2.165963574250539,119
16,-325.55470277716256,-186.6427295901937,0.9683200000000003,1.699862973557578,72
17,-329.84379044960394,-195.06632140545315,0.9663400000000003,2.152923512458801,120
18,-113.66277457266794,-190.54390213696507,0.9643600000000003,1.7641016112433539,73
19,-82.06997836165695,-184.83474825405412,0.9623800000000003,2.1584040403366087,79
20,-76.14802457422176,-179.4004120700625,0.9604000000000004,1.979434148967266,81
21,-67.78943693102589,-174.08560373010837,0.9584200000000004,1.6394531078198378,68
22,-85.95185708579915,-170.07952433718523,0.9564400000000004,1.6297364756464958,66
23,-498.3240176140174,-184.35102404487358,0.9544600000000004,1.7370031697134818,124
24,-86.61766942446438,-180.27880093568987,0.9524800000000004,1.7140676659696243,66
25,-28.332011898150512,-174.20092937418826,0.9505000000000005,1.571590532362461,80
26,-71.95907266852456,-170.26855027012428,0.9485200000000005,2.374065548181534,69
27,-71.29715384583703,-166.60294299515067,0.9465400000000005,1.9340747749805451,98
28,-188.96840112436635,-167.40170935690838,0.9445600000000005,1.9867133507805486,125
29,-115.52970532162308,-165.6130195625882,0.9425800000000005,1.642831813544035,63
30,-107.09929107505658,-163.66256194633712,0.9406000000000005,1.5251143356164296,62
31,-65.40529474500943,-160.49297268177816,0.9386200000000006,2.086589202284813,73
32,-34.798334058530784,-156.56501522480173,0.9366400000000006,1.941776692867279,76
33,-157.2209451330969,-156.58489188868947,0.9346600000000006,2.1792619851502506,129
34,-367.8080923900981,-162.7973389622603,0.9326800000000006,1.5323135463091044,105
35,-129.29265223068177,-161.84006219850093,0.9307000000000006,1.62169408181618,117
36,-99.33276441136987,-160.1037483710806,0.9287200000000007,2.1252859139442446,100
37,-122.49356029866377,-159.0872568015558,0.9267400000000007,1.2039140771936487,109
38,-216.9295046185057,-160.60942121779135,0.9247600000000007,1.694357982453178,65
39,-67.01246961728305,-158.2094993818809,0.9227800000000007,1.2834403401329404,87
40,-325.90323839343137,-162.40184285716964,0.9208000000000007,1.1959024085885002,84
41,-81.39840745823346,-160.42614931085413,0.9188200000000007,1.0484588090330362,93
42,-58.05504741639306,-157.98874212289076,0.9168400000000008,1.759280376136303,145
43,-124.15147617615716,-157.2018289613388,0.9148600000000008,1.8212655963642257,111
44,-84.96761939332058,-155.5601423802475,0.9128800000000008,1.4521314539015293,66
45,-181.81767620825536,-156.143643131981,0.9109000000000008,1.442350295456973,89
46,-229.19816526617603,-157.73178491750699,0.9089200000000008,1.4525492284446955,126
47,-112.80539870062806,-156.77590435970106,0.9069400000000009,1.6797569497771885,91
