episode,reward,moving_avg_100,epsilon,loss,steps,intrinsic_sum,shaping_sum,icm_loss
25,-86.51788640066405,-160.40670814515582,0.9505000000000005,1.551385101150064,137,3.0205333115300164,0.0,0.5985127757577335
26,-199.99292800118147,-161.92925506269526,0.9485200000000005,1.7836618555916681,73,4.054764273314504,0.0,0.6083032637834549
27,-293.8506859621659,-166.81523398489787,0.9465400000000005,1.586338683962822,121,3.5493430035712663,0.0,0.5540598849455516
28,-221.40439157199324,-168.76484675586556,0.9445600000000005,1.4795342463514078,91,4.364330279509886,0.0,0.48704149412072223
29,-163.53317105844343,-168.5844441456096,0.9425800000000005,1.4267936766147613,118,5.335714007116621,0.0,0.483375096321106
30,-201.32635111217587,-169.67584104449514,0.9406000000000005,1.2044702791853954,154,16.9966936239216,0.0,0.5291673682237926
31,-131.65047973603495,-168.44921648615772,0.9386200000000006,1.4312274686314843,86,3.024314733222127,0.0,0.49988142333247443
32,-197.5099024629844,-169.3573629229336,0.9366400000000006,1.495770302414894,82,5.978055092942668,0.0,0.4575945630669594
33,-99.81420752369206,-167.24999457750204,0.9346600000000006,1.5700296643707488,72,2.7748752883053385,0.0,0.46405446032683056
34,-93.76878559856947,-165.0887825487099,0.9326800000000006,1.5102995897714908,102,1.9103413260454545,0.0,0.5422696264890524
35,-239.73007134793704,-167.22139080011638,0.9307000000000006,1.5692643964290618,100,5.23463771934621,0.0,0.4348683619499207
36,-27.10023141082945,-163.32913637263619,0.9287200000000007,1.4855391063072063,109,6.295764169190079,0.0,0.49216213160090977
37,-205.33212236164212,-164.46435221017688,0.9267400000000007,1.6567010959753623,105,25.197250052646268,0.0,0.5103631340540372
38,-67.240945623545,-161.90584151052866,0.9247600000000007,1.8514941942233305,102,16.547961665928597,0.0,0.4598605976654933
39,-148.077971267054,-161.55128073505495,0.9227800000000007,1.658936388217486,107,3.9929423182766186,0.0,0.438778097812946
40,-95.87259261644584,-159.90931353208975,0.9208000000000007,1.8339636996388435,143,0.712392184213968,0.0,0.4558918923139572
41,-171.89997669414115,-160.20176873116418,0.9188200000000007,1.7576949284835295,86,5.610111978588975,0.0,0.4589909437027844
42,-182.61563677761615,-160.73543225607972,0.9168400000000008,1.5103200674057007,94,4.6492098707240075,0.0,0.412865294062573
43,-214.95504473854692,-161.99635347660222,0.9148600000000008,1.360499612711094,106,6.527942099230131,0.0,0.4506600521228932
44,-187.54451757852274,-162.5769935698277,0.9128800000000008,1.616360261388447,93,2.826783579279436,0.0,0.45859283727148303
45,-406.2445238163397,-167.99182757530573,0.9109000000000008,1.534698885679245,79,8.633957206329796,0.0,0.42285266071558
46,-74.98974412342032,-165.97004315243868,0.9089200000000008,1.4399565073351066,96,3.0445263932051603,0.0,0.43535632515947026
47,-406.42522549597675,-171.08611086187565,0.9069400000000009,1.4946789819261301,92,7.048039047251223,0.0,0.4169415144816689
