episode,reward,moving_avg_100,epsilon,loss,steps,intrinsic_sum,shaping_sum,icm_loss
1,-93.01729772267262,-93.01729772267262,0.99802,0.7922205924987793,66,0.0,2.21978481804273,0.0
2,-292.2146596830485,-192.61597870286056,0.99604,2.141310398777326,97,0.0,1.9521685760109806,0.0
3,-102.37946263466701,-162.5371400134627,0.99406,2.429567940533161,62,0.0,2.341209535102665,0.0
4,-241.84279721492462,-182.3635543138282,0.9920800000000001,2.3708958540643965,111,0.0,2.241523563349495,0.0
5,-87.02725792569355,-163.29629503620126,0.9901000000000001,2.109788644313812,81,0.0,3.0445511185476626,0.0
6,-85.00361606209486,-150.2475152071835,0.9881200000000001,2.09382832967318,105,0.0,2.9302359984049744,0.0
7,-218.76873280030048,-160.0362605776288,0.9861400000000001,2.002158213544775,106,0.0,2.5996113339778053,0.0
8,-335.7029872472132,-181.99460141132687,0.9841600000000001,1.7514130892576996,110,0.0,1.3087359175935596,0.0
9,-191.0905001767789,-183.00525682971045,0.9821800000000002,2.2297838455752323,75,0.0,1.865308759395156,0.0
10,-152.5115381692163,-179.95588496366102,0.9802000000000002,2.4056396105072717,133,0.0,3.224177042810378,0.0
11,-207.4312623185185,-182.45364654137532,0.9782200000000002,2.051243270144743,69,0.0,1.760830804697787,0.0
12,-180.22359744718426,-182.2678091168594,0.9762400000000002,1.71192776709795,80,0.0,1.970445990943048,0.0
13,-157.8154275457484,-180.38685668831238,0.9742600000000002,1.9264526069164276,78,0.0,1.8450774485596173,0.0
14,-74.6614778353354,-172.83504391309975,0.9722800000000003,2.5253199997701143,76,0.0,2.733046312139294,0.0
15,-301.4597648495184,-181.41002530886098,0.9703000000000003,2.0075491509939494,78,0.0,0.9949128951588317,0.0
16,-167.47143265224224,-180.53886326782234,0.9683200000000003,2.91163235384485,91,0.0,2.579124969912038,0.0
17,-141.84757404894563,-178.26290507847665,0.9663400000000003,1.565304970741272,81,0.0,2.434978421510326,0.0
18,-247.77340123258617,-182.12459930926053,0.9643600000000003,1.6960907622619912,105,0.0,2.1630156441226633,0.0
19,-74.08517333421524,-176.43831373162655,0.9623800000000003,1.9194869212806225,65,0.0,2.744241577105414,0.0
20,-217.39262283054845,-178.48602918657267,0.9604000000000004,1.9078669371930035,88,0.0,1.4169637801191994,0.0
21,-139.35190816204403,-176.62249961397606,0.9584200000000004,2.300828622735065,93,0.0,2.4653583686966716,0.0
22,-167.81748133646545,-176.22227151045283,0.9564400000000004,2.2837241100413457,112,0.0,2.0092695266391103,0.0
23,-131.0474649288467,-174.2581494851656,0.9544600000000004,1.786683507836782,104,0.0,2.4862173281022795,0.0
24,-158.88987604776884,-173.61780475860738,0.9524800000000004,1.5663948628035458,86,0.0,2.3167431432225913,0.0
25,-163.86676560402933,-173.22776319242428,0.9505000000000005,2.112464669346809,83,0.0,1.929846337547706,0.0
26,-175.96742705079777,-173.33313487928478,0.9485200000000005,2.158731793363889,95,0.0,2.0102195506377534,0.0
27,-90.27447291809722,-170.25688813998156,0.9465400000000005,1.0935241079330444,101,0.0,3.200541830866752,0.0
28,-190.92336189956416,-170.99497648853807,0.9445600000000005,1.848220757816149,91,0.0,1.6496821528341439,0.0
29,-179.0600442693842,-171.2730822740845,0.9425800000000005,1.785500595966975,109,0.0,2.498035926175856,0.0
30,-247.34559502350245,-173.80883269906508,0.9406000000000005,1.4769236424139567,109,0.0,2.3374981770029817,0.0
31,-161.91752357605293,-173.42524208219373,0.9386200000000006,1.4996286302804946,82,0.0,1.820933437621824,0.0
32,-116.62141953923944,-171.65012262772643,0.9366400000000006,1.2551288925684416,102,0.0,2.637764003402666,0.0
33,-119.26643523113088,-170.06273816116294,0.9346600000000006,1.6600865698777711,105,0.0,2.8332666149663472,0.0
34,-379.088185171564,-176.21054542617475,0.9326800000000006,1.477631925117402,83,0.0,0.46186433382095093,0.0
35,-121.07307562651094,-174.63518914618436,0.9307000000000006,0.9839907651362212,93,0.0,2.4876570403060136,0.0
36,-89.56681084859824,-172.27217863791805,0.9287200000000007,1.9793919858179594,76,0.0,2.3082617545870345,0.0
37,-136.12042063733827,-171.29510409736184,0.9267400000000007,1.3811225831508636,121,0.0,2.9728147061919357,0.0
38,-375.73786993749246,-176.67517688262845,0.9247600000000007,1.1076913368701935,100,0.0,1.3799317658170607,0.0
39,-245.38795074359257,-178.43704287906343,0.9227800000000007,1.6138578180004568,67,0.0,1.1362219727196614,0.0
40,-149.51366238678415,-177.71395836675643,0.9208000000000007,1.1229423443476358,61,0.0,1.5226570898465195,0.0
41,-144.43639379701568,-176.90231045042128,0.9188200000000007,1.2357234672225754,115,0.0,2.188718984110463,0.0
42,-202.15404170733063,-177.50354214701434,0.9168400000000008,1.1897512172107343,110,0.0,2.0090499584965134,0.0
43,-147.67008192649223,-176.8097407465371,0.9148600000000008,1.2732466624842749,72,0.0,1.926368347096906,0.0
44,-87.97490268858073,-174.79076715431083,0.9128800000000008,1.029580693691969,63,0.0,2.1660241209543276,0.0
45,-179.46693744140185,-174.8946820495795,0.9109000000000008,1.4794683544074787,68,0.0,1.9285543736993418,0.0
46,-55.62784075172884,-172.301924630061,0.9089200000000008,1.321660644064347,142,0.0,3.913161531397958,0.0
47,-186.09409479875447,-172.59537505918215,0.9069400000000009,1.3206611093547609,110,0.0,2.4632618947461635,0.0
48,-113.79431846504266,-171.37035304680424,0.9049600000000009,1.585371513258327,88,0.0,2.5503781953472036,0.0
49,-201.01420848328033,-171.97532968836498,0.9029800000000009,1.6097357002171604,131,0.0,2.675790710252135,0.0
50,-77.38089185041807,-170.08344093160605,0.9010000000000009,1.0222971426404042,94,0.0,3.1764619228784445,0.0
51,-232.66173582907072,-171.31046632175244,0.8990200000000009,1.1662346865050495,126,0.0,2.4732692002512318,0.0
52,-188.02102649420846,-171.63182324814582,0.897040000000001,1.609963082604938,108,0.0,2.063572003098548,0.0
53,-128.47840626613575,-170.81760783339092,0.895060000000001,1.5242654383182526,91,0.0,2.2384768389720833,0.0
54,-118.81053979833202,-169.85451398088986,0.893080000000001,1.649212589318102,88,0.0,2.494289980950901,0.0
55,-93.96781727440712,-168.4747558589538,0.891100000000001,1.215002133200566,99,0.0,2.831443555215267,0.0
56,-242.82685388475608,-169.8024718951288,0.889120000000001,1.2948818553019972,133,0.0,2.805658975158786,0.0
57,-112.8690687404925,-168.80364026083694,0.887140000000001,1.365390263001124,122,0.0,3.141031189150055,0.0
58,-164.88761897692422,-168.7361226524936,0.8851600000000011,1.5573012307286263,136,0.0,3.7156645215395763,0.0
59,-70.59294262615373,-167.0726789232336,0.8831800000000011,1.798470249865204,129,0.0,3.480785944657532,0.0
60,-202.46768075680455,-167.6625956204598,0.8812000000000011,1.3552867121994496,157,0.0,3.7244025197019774,0.0
61,-190.8410898683522,-168.042570935999,0.8792200000000011,1.6827117004073584,106,0.0,2.6323918933535357,0.0
62,-301.45852329105855,-170.1944411352742,0.8772400000000011,1.305944060457164,117,0.0,3.092812711610686,0.0
63,-160.12730816544638,-170.03464537384835,0.8752600000000011,1.262526422739029,81,0.0,2.25752178396053,0.0
64,-157.7047854414875,-169.84199131240518,0.8732800000000012,1.2265077983510906,119,0.0,2.5001404379546317,0.0
65,-90.00125465567459,-168.61367228691702,0.8713000000000012,1.1700142544728738,105,0.0,2.77207135256012,0.0
66,-108.0537904487002,-167.69609831967134,0.8693200000000012,1.2547316253185272,82,0.0,2.330535319836028,0.0
67,-236.49896387267927,-168.723006760761,0.8673400000000012,1.2912999788920085,145,0.0,3.0796311204657547,0.0
68,-179.48149590225785,-168.88121983637126,0.8653600000000012,1.7103210401076536,103,0.0,1.9499922858418453,0.0
69,-329.5851561921033,-171.21026239225142,0.8633800000000013,1.596174416442712,95,0.0,0.9958522515074937,0.0
70,-97.24861631635527,-170.15366744831005,0.8614000000000013,1.2725752052806674,83,0.0,2.0558903703778437,0.0
